2,count
CARU,132
ALARCÓN,132
FORMAS,132
VIO,132
GARCÍA,132
SALDIVAR,132
MANQUEL,132
MANOSALVA,132
GRANADOS,132
HORMIGA,132
ANTIVILO,132
COLICHEO,131
TRIVIÑO,131
RAFAEL,131
LAURIE,131
JELDREZ,131
CAMACHO,131
ALBERNAZ,131
JERLADO,130
RONDON,130
CAAMAÑO,130
BURGO,130
QUIRILAO,129
CLAIVERT,129
AILLAPAN,129
HUENTEN,129
CALERON,129
RANGEL,129
ABELLO,129
ARACENA,129
GARDRAT,128
VALERIA,128
MANQUI,128
ESCALA,127
TAUDA,127
LEFIAN,127
ARRAU,127
BRIZUELA,127
MORIS,126
SALDAÑO,126
BAÑADOS,126
BURY,126
BOLAÑOS,126
ASENJO,125
MILLACHE,125
ZELADA,125
ARZOLA,125
COÑOMAN,125
ABAD,124
PINUER,123
HUENUNMAY,123
FELIU,123
MOSQUEIRA,123
CONCEPCION,123
BASCHMANN,123
SAA,122
CHACIN,122
OTALE,122
BURDILES,122
GRENET,121
CURRIHUINCA,121
COCIO,121
ARABIA,121
CALERO,120
SEPULVEDAD,120
ALCAPAN,120
MONTANO,120
BASTERRECHEA,120
CHAPARRO,120
STUARDO,119
CALFUCURA,119
AILEF,119
ALDUNCE,119
OLIVERA,118
DOLE,118
GALEAS,118
DABOIN,118
BOLVARAN,118
PARRAGUIRRE,118
ROJA,117
LEMUS,117
BUDIN,117
PÉREZ,117
VILLAFAÑA,117
QUINAN,117
RIVERAS,116
RAÑILEO,116
PROVOSTE,116
JULIEN,115
MANQUECOY,115
IPARRAGUIRRE,115
ÑANCULEF,115
HINOSTROZA,115
VIERA,115
CORALES,114
CAYUN,114
ASTROGA,114
TICONA,114
PIÑONES,114
CARILEO,114
IZQUIERDO,114
VIZCARRA,114
PURATRICH,114
GAITAN,114
JUSTINIANO,114
LLAUQUEN,113
PAILLACAR,112
VÁSQUEZ,112
VELAZCO,112
LEQUEPI,112
LEVIO,112
MILLACORIS,112
PEZO,111
BARBOSA,111
HUENCHUPAN,111
COLIN,111
PEDREROS,111
BORNE,110
CASTAÑO,110
BAU,110
GALVES,110
CARIQUEO,110
MALINCA,110
ALBARRACIN,110
QUINCHAVIL,109
MANZANO,109
MILLARES,109
CÁCERES,109
VILLAMIZAR,109
GUIÑEZ,109
CUOCH,108
RAIHUANQUE,108
QUITRAL,108
MILLANHUAL,107
SALDIA,107
AGUSTO,107
CAMPO,107
CARPIO,107
LABRAÑA,107
HUICHANTE,106
MARILL,106
HUENTEMILLA,106
ANCEL,106
TRALCAL,106
MATUJARA,105
SIAPO,105
MAMANI,105
AYAR,104
TRUCIOS,104
LEVIQUEO,104
PERDOMO,103
CASANA,103
CUELLAR,103
SEREÑO,103
DOTTE,103
GAONA,103
VILO,103
RAUSEO,103
PANTOJA,103
CARRUYO,103
ANTIMAN,102
AQUEVEQUE,102
UNDA,102
MERY,102
HUARACHE,102
SUCASACA,102
PILAMILLA,102
PURRAY,102
FERRER,101
WILLIAM,101
CORRO,101
DOMICH,101
ANAIS,101
PEIGNA,101
DELPINO,101
PILQUIL,101
WEITZ,100
PETRAGLIA,100
BALLADARES,100
PARRAGA,100
BARILLAS,100
BESSOLO,100
FIGUEREDO,100
MONTILLA,99
YEUTO,99
VIVAS,99
ZEGERS,99
CONDORI,99
BORGEAUD,99
CALIXTO,99
HERNÁNDEZ,99
SIERRA,98
HUENCHUNAO,98
INALAF,98
BERNALES,98
PAINAMILLA,98
CALFIPAN,98
PAILLAMIL,97
PAILLALEO,97
PINALES,97
ALMAZAN,97
ADONIS,97
HUENUMAN,97
LAUTATE,97
CANCHAYA,96
FLORE,96
ABELARDEZ,96
VEGAS,96
KUKENSHONER,96
PLASENCIA,96
FABRES,96
ZÚÑIGA,96
ZAMUDIO,96
GARIN,96
