1,count
CUCUMIDES,92
MARDONEZ,92
CUMPLIDO,91
CHURON,91
FARIA,91
ESTIME,91
CARRERAS,91
CAMBIASO,91
CONTADOR,90
TERRAZA,90
ALDUNCE,90
MARIVIL,90
CENAT,90
CAMILO,90
RONDON,90
RODRÍGUEZ,90
PROVOSTE,90
REVOLLEDO,89
GUBELET,89
DELZO,89
BARCO,89
LEMUL,89
MIHALICKA,89
NAVEAS,89
COLIN,89
FERJ,89
NECUÑIR,89
BRIEVA,89
BALBONTIN,89
PEÑIFIL,88
CUADROS,88
ANCIETA,88
CORALES,88
JELDRES,88
VALERO,88
PUENTE,88
FERRER,88
CALCUMIL,88
MALE,88
ELGUEDO,87
MANQUEÑIR,87
HEAGER,87
CORREAL,87
IGOR,87
WOSLINE,87
RIASCOS,87
CAEROLS,86
ROSE,86
LARRAGUIBEL,86
VALLADE,86
HURTUBIA,86
HUERAVIL,86
MARTE,86
IZARRAULDE,86
HUENOPIL,86
AULAR,85
TIRADO,85
MANUEL,85
COPLON,85
GRAU,85
ANCALAF,85
OBANDO,85
BERROCAL,85
CERPA,85
LUAN,85
QUIDEL,84
PORTILLA,84
PAILACURA,84
PONTIGGIA,84
LUBO,84
CALFULAF,84
ORYAN,84
ITURRIAGA,84
AÑASCO,84
PFUÑO,83
CAMPILLAI,83
NAHUELPAN,83
ARQUEROS,83
ALRRINGO,83
ANTIL,83
GALAVIZ,83
MONTALBA,83
CURIFIL,83
OBAÑEZ,83
PODEST,82
MONTT,82
HUICHURA,82
PADRON,82
CASTILLOS,82
SOSA,82
VICTORIANO,82
CUADRA,82
BAZAN,82
COA,82
PAGLIAI,82
TRITINI,81
POLO,81
PINALES,81
RUSICH,81
COLLIPAL,81
OTEIZA,81
SAINTIL,81
ANTIVIL,81
RIOSECO,81
CURAMIL,81
FROST,81
PULIDO,81
PRADINES,81
LONDOÑO,80
BASAUR,80
CHOQUE,80
RICHE,80
CADEGAN,80
LLANCAQUEO,80
BOUFFANAIS,80
LLAUQUEN,80
CATRIAN,80
